frame,keypoint_group,angle_student,angle_master
0,0,90.0,90.0
0,1,90.0,90.0
0,2,90.0,90.0
0,3,90.0,90.0
0,4,90.0,90.0
0,5,90.0,90.0
0,6,90.0,90.0
0,7,90.0,90.0
0,8,90.0,90.0
0,9,90.0,90.0
0,10,90.0,90.0
0,11,90.0,90.0
0,12,90.0,90.0
0,13,90.0,90.0
0,14,90.0,90.0
0,15,90.0,90.0
0,16,90.0,90.0
0,17,90.0,90.0
0,18,90.0,90.0
0,19,90.0,90.0
0,20,90.0,90.0
0,21,90.0,90.0
0,22,90.0,90.0
0,23,90.0,90.0
0,24,90.0,90.0
0,25,90.0,90.0
0,26,90.0,90.0
0,27,90.0,90.0
1,0,90.0,90.0
1,1,90.0,90.0
1,2,90.0,90.0
1,3,90.0,90.0
1,4,90.0,90.0
1,5,90.0,90.0
1,6,90.0,90.0
1,7,90.0,90.0
1,8,90.0,90.0
1,9,90.0,90.0
1,10,90.0,90.0
1,11,90.0,90.0
1,12,90.0,90.0
1,13,90.0,90.0
1,14,90.0,90.0
1,15,90.0,90.0
1,16,90.0,90.0
1,17,90.0,90.0
1,18,90.0,90.0
1,19,90.0,90.0
1,20,90.0,90.0
1,21,90.0,90.0
1,22,90.0,90.0
1,23,90.0,90.0
1,24,90.0,90.0
1,25,90.0,90.0
1,26,90.0,90.0
1,27,90.0,90.0
2,0,90.0,90.0
2,1,90.0,90.0
2,2,90.0,90.0
2,3,90.0,90.0
2,4,90.0,90.0
2,5,90.0,90.0
2,6,90.0,90.0
2,7,90.0,90.0
2,8,90.0,90.0
2,9,90.0,90.0
2,10,90.0,90.0
2,11,90.0,90.0
2,12,90.0,90.0
2,13,90.0,90.0
2,14,90.0,90.0
2,15,90.0,90.0
2,16,90.0,90.0
2,17,90.0,90.0
2,18,90.0,90.0
2,19,90.0,90.0
2,20,90.0,90.0
2,21,90.0,90.0
2,22,90.0,90.0
2,23,90.0,90.0
2,24,90.0,90.0
2,25,90.0,90.0
2,26,90.0,90.0
2,27,90.0,90.0
3,0,90.0,90.0
3,1,90.0,90.0
3,2,90.0,90.0
3,3,90.0,90.0
3,4,90.0,90.0
3,5,90.0,90.0
3,6,90.0,90.0
3,7,90.0,90.0
3,8,90.0,90.0
3,9,90.0,90.0
3,10,90.0,90.0
3,11,90.0,90.0
