frame,angle_similarity_percentage,position_similarity_percentage,average_similarity
0,99.99999999999999,100.0,100.0
1,99.99999999999999,100.0,100.0
2,99.99999999999999,100.0,100.0
3,99.99999999999999,100.0,100.0
4,99.99999999999999,100.0,100.0
5,99.99999999999999,100.0,100.0
6,99.99999999999999,100.0,100.0
7,99.99999999999999,100.0,100.0
8,99.99999999999999,100.0,100.0
9,99.99999999999999,100.0,100.0
10,99.99999999999999,100.0,100.0
11,99.99999999999999,100.0,100.0
12,99.99999999999999,100.0,100.0
13,99.99999999999999,100.0,100.0
14,99.99999999999999,100.0,100.0
15,99.99999999999999,100.0,100.0
16,99.99999999999999,100.0,100.0
17,99.99999999999999,100.0,100.0
18,99.99999999999999,100.0,100.0
19,99.99999999999999,100.0,100.0
20,99.99999999999999,100.0,100.0
21,99.99999999999999,100.0,100.0
22,99.99999999999999,100.0,100.0
23,99.99999999999999,100.0,100.0
24,99.99999999999999,100.0,100.0
